event_time,event_phase
2019-09-05T13:10:44Z,3
2019-09-05T13:12:56Z,3
2019-09-05T13:15:07Z,3
2019-09-05T13:16:23Z,3
2019-09-05T13:17:38Z,3
2019-09-05T13:22:05Z,3
2019-09-05T13:25:18Z,3
2019-09-05T13:25:35Z,2
2019-09-05T13:32:06Z,2
2019-09-05T13:33:14Z,2
2019-09-05T13:38:42Z,2
2019-09-05T13:38:46Z,1
2019-09-05T13:54:08Z,2
2019-09-05T13:55:07Z,3
2019-09-05T14:04:35Z,2
2019-09-05T14:08:37Z,3
2019-09-05T14:11:06Z,2
2019-09-05T14:20:43Z,1
2019-09-05T14:21:29Z,1
2019-09-05T14:22:44Z,3
2019-09-05T14:23:18Z,2
2019-09-05T14:25:32Z,1
2019-09-05T14:26:20Z,3
2019-09-05T14:31:22Z,1
2019-09-05T14:32:17Z,3
2019-09-05T14:33:28Z,3
2019-09-05T14:38:35Z,3
